Polynomial Degree,Mean Error,Max Error,Total Time,Method
1,-4.1449916331218795,-3.32554610000642,64.98832845687866,Unnormalised LAD-PP
2,-4.162645808907834,-3.2167694832200535,124.94308352470398,Unnormalised LAD-PP
3,-4.149120840689995,-2.675746766260991,161.95292043685913,Unnormalised LAD-PP
4,-4.1841739045647595,-2.5232845606440617,206.1925868988037,Unnormalised LAD-PP
5,0.0,0.0,19.015111923217773,Unnormalised LAD-PP
1,-4.146806948554075,-3.3341159347003093,48.227248430252075,Normalised LAD-PP
2,-4.1324347968493855,-3.250301631826207,93.5205147266388,Normalised LAD-PP
3,-4.106433783386093,-2.7119809131814767,103.79652833938599,Normalised LAD-PP
4,-4.01364800400096,-2.563092907577529,202.30220079421997,Normalised LAD-PP
5,0.0,0.0,21.137563467025757,Normalised LAD-PP
1,-4.144991633121322,-3.325546100005706,71.8699004650116,Hermite LAD-PP
2,-4.162645808906775,-3.2167694832222775,132.40003967285156,Hermite LAD-PP
3,-4.149120898101169,-2.6757468968852125,154.46004939079285,Hermite LAD-PP
4,-4.017213708212495,-2.517349500027879,449.98092579841614,Hermite LAD-PP
5,-3.405990525159993,-1.120848485488557,898.740231513977,Hermite LAD-PP
1,-4.146806948555378,-3.3341159347042635,86.3653073310852,Smaller Regulation RLAD-PP
2,-4.137751897803179,-3.2723763414682683,136.75057816505432,Smaller Regulation RLAD-PP
3,-4.131378989876034,-3.2671120252343075,214.53611946105957,Smaller Regulation RLAD-PP
4,-4.133387419681512,-3.291035813894578,280.99610924720764,Smaller Regulation RLAD-PP
5,-4.168804675528276,-3.0459330388412997,240.30234622955322,Smaller Regulation RLAD-PP
1,-4.123517593392333,-3.3234477738739874,33.39111948013306,Larger Regulation RLAD-PP
2,-4.011230256880128,-3.1217742556534867,41.671594858169556,Larger Regulation RLAD-PP
3,-4.032346166633076,-3.192520185410644,80.06672310829163,Larger Regulation RLAD-PP
4,-4.099337106940995,-3.246815889305074,123.35199761390686,Larger Regulation RLAD-PP
5,-4.099660249350649,-3.2506920051588386,150.39271926879883,Larger Regulation RLAD-PP
