Polynomial Degree,Mean Error,Max Error,Total Time,Method
1,-4.1449916331218795,-3.32554610000642,50.80039572715759,Unnormalised LAD-PP
2,-4.162645808907834,-3.2167694832200535,121.15942811965942,Unnormalised LAD-PP
3,-4.149120840689995,-2.675746766260991,136.56888890266418,Unnormalised LAD-PP
4,-4.1841739045647595,-2.5232845606440617,166.65496635437012,Unnormalised LAD-PP
5,0.0,0.0,16.210636615753174,Unnormalised LAD-PP
1,-4.146806948554075,-3.3341159347003093,32.45524835586548,Normalised LAD-PP
2,-4.1324347968493855,-3.250301631826207,68.83596539497375,Normalised LAD-PP
3,-4.106433783386093,-2.7119809131814767,87.68411135673523,Normalised LAD-PP
4,-4.01364800400096,-2.563092907577529,160.55389261245728,Normalised LAD-PP
5,0.0,0.0,14.325729370117188,Normalised LAD-PP
1,-4.144991633121322,-3.325546100005706,55.82375931739807,Hermite LAD-PP
2,-4.162645808906775,-3.2167694832222775,103.01374673843384,Hermite LAD-PP
3,-4.149120898101169,-2.6757468968852125,117.86401200294495,Hermite LAD-PP
4,-4.017213708212495,-2.517349500027879,177.63631176948547,Hermite LAD-PP
5,-3.405990525159993,-1.120848485488557,717.9265115261078,Hermite LAD-PP
1,-4.146806948555378,-3.3341159347042635,76.91731786727905,Smaller Regulation RLAD-PP
2,-4.137751897803179,-3.2723763414682683,124.3823835849762,Smaller Regulation RLAD-PP
3,-4.131378989876034,-3.2671120252343075,182.1020791530609,Smaller Regulation RLAD-PP
4,-4.133387419681512,-3.291035813894578,269.84537386894226,Smaller Regulation RLAD-PP
5,-4.168804675528276,-3.0459330388412997,374.2503616809845,Smaller Regulation RLAD-PP
1,-4.123517593392333,-3.3234477738739874,69.5269992351532,Larger Regulation RLAD-PP
2,-4.011230256880128,-3.1217742556534867,85.15520119667053,Larger Regulation RLAD-PP
3,-4.032346166633076,-3.192520185410644,210.673086643219,Larger Regulation RLAD-PP
4,-4.099337106940995,-3.246815889305074,2549.062366962433,Larger Regulation RLAD-PP
5,-4.099660249350649,-3.2506920051588386,294.528769493103,Larger Regulation RLAD-PP
