Polynomial Degree,Mean Error,Max Error,Total Time,Method
1,-4.189617995480645,-3.367747491402649,15.042896270751953,Unnormalised OLS
2,-4.163727082953374,-3.058197779583916,18.31414818763733,Unnormalised OLS
3,0.0,0.0,13.694502115249634,Unnormalised OLS
4,0.0,0.0,13.694502115249634,Unnormalised OLS
5,0.0,0.0,13.694502115249634,Unnormalised OLS
1,-4.189617995552673,-3.367747491439081,14.760482549667358,Normalised OLS
2,-4.163727171461935,-3.058197793259104,18.30101728439331,Normalised OLS
3,-4.067163026404414,-2.6018268314551887,26.05129337310791,Normalised OLS
4,0.0,0.0,13.553712368011475,Normalised OLS
5,0.0,0.0,13.553712368011475,Normalised OLS
1,-4.18961799555256,-3.3677474914355954,17.192920207977295,Hermite OLS
2,-4.163727171474768,-3.058197793268752,23.37139916419983,Hermite OLS
3,-4.067163030173225,-2.601826826867068,36.04261016845703,Hermite OLS
4,-3.841326907307596,-2.315202886486534,49.59435319900513,Hermite OLS
5,-3.775935247527159,-2.080430782106922,69.36439967155457,Hermite OLS
1,-2.6111850762998614,-1.979367362836239,132.05583429336548,Smaller Regulation RLS-Tikhonov
2,-2.240197084727361,-1.807081371562383,309.75002884864807,Smaller Regulation RLS-Tikhonov
3,-2.1988894587838397,-1.793083599760304,559.7196769714355,Smaller Regulation RLS-Tikhonov
4,-2.194938722351419,-1.7917078735973109,791.1988093852997,Smaller Regulation RLS-Tikhonov
5,-2.1945450273919045,-1.791570495211258,1245.5985035896301,Smaller Regulation RLS-Tikhonov
1,-2.6101461971114777,-1.9853523094947423,134.0130729675293,Larger Regulation RLS-Tikhonov
2,-2.2061369721340167,-1.8302333422255004,332.09854221343994,Larger Regulation RLS-Tikhonov
3,-2.1688501038860992,-1.8114913279019358,623.7922430038452,Larger Regulation RLS-Tikhonov
4,-2.165268153926579,-1.8096610830518602,1155.7693548202515,Larger Regulation RLS-Tikhonov
5,-2.164910896704659,-1.8094785059571004,1332.1739585399628,Larger Regulation RLS-Tikhonov
